n, h, t, In, ^In, S, Ifin, I, err, mul_s, div_s
1,0.0001000000,0.8885000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8886000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8887000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8888000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8889000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8890000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8891000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8892000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8893000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8894000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8895000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8896000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8897000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8898000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8899000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8900000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8901000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8902000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8903000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8904000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8905000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8906000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8907000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8908000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8909000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8910000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8911000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8912000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8913000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8914000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8915000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8916000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8917000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
1,0.0001000000,0.8918000000,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.5000000000,nan,0,0
